2016-07-07 11:28:41     0.7   12.9  STATUS STARTED RnBeads Pipeline
2016-07-07 11:28:41     0.7   12.9    INFO     Initialized report index and saved to index.html
2016-07-07 11:28:41     0.7   12.9  STATUS     STARTED Loading Data
2016-07-07 11:28:41     0.7   12.9    INFO         Number of cores: 1
2016-07-07 11:28:41     0.8   12.9    INFO         Loading data of type "infinium.idat.dir"
2016-07-07 11:28:41     0.8   12.9  STATUS         STARTED Loading Data from IDAT Files
2016-07-07 11:28:41     0.8   12.9    INFO             Added column barcode to the provided sample annotation table
2016-07-07 11:28:42     0.8   12.9    INFO             Detected platform: HumanMethylation450
2016-07-07 11:31:46     1.1   14.9  STATUS         COMPLETED Loading Data from IDAT Files
2016-07-07 11:46:19     1.4   15.7  STATUS         Loaded data from /projects/factorization/raw_data/GSE42861/idat
2016-07-07 11:46:31     2.4   15.7  STATUS         Predicted gender for the loaded samples
2016-07-07 11:46:35     2.0   15.7  STATUS         Added data loading section to the report
2016-07-07 11:46:35     2.0   15.7  STATUS         Loaded 92 samples and 485577 sites
2016-07-07 11:46:35     2.0   15.7    INFO         Output object is of type RnBeadRawSet
2016-07-07 11:46:35     2.0   15.7  STATUS     COMPLETED Loading Data
2016-07-07 11:49:25     1.4   15.7    INFO     Initialized report index and saved to index.html
2016-07-07 11:49:31     1.4   15.7  STATUS     STARTED Quality Control
2016-07-07 11:49:31     1.4   15.7    INFO         Number of cores: 1
2016-07-07 11:49:31     1.4   15.7  STATUS         STARTED Quality Control Section
2016-07-07 11:49:51     1.4   15.7  STATUS             Added quality control box plots
2016-07-07 11:51:48     1.4   15.7  STATUS             Added quality control bar plots
2016-07-07 11:51:57     1.4   15.7  STATUS             Added negative control boxplots
2016-07-07 11:51:57     1.4   15.7  STATUS         COMPLETED Quality Control Section
2016-07-07 11:51:57     1.4   15.7  STATUS         STARTED Visualizing Sample Mixups
2016-07-07 11:51:57     1.4   15.7  STATUS             STARTED Mixups Visualization Section
2016-07-07 11:52:11     2.0   15.7  STATUS                 Added SNP Heatmap
2016-07-07 11:52:17     2.0   15.7  STATUS                 Calculated Manhattan distances between samples based on SNP probes
2016-07-07 11:52:18     2.0   15.7  STATUS                 Add plot of SNP distances
2016-07-07 11:52:18     2.0   15.7  STATUS                 Exported SNP-based distances to snp_distances.csv
2016-07-07 11:52:18     2.0   15.7  STATUS                 Added SNP-based Distances
2016-07-07 11:52:18     2.0   15.7  STATUS             COMPLETED Mixups Visualization Section
2016-07-07 11:52:18     2.0   15.7  STATUS         COMPLETED Visualizing Sample Mixups
2016-07-07 11:52:30     2.2   15.7  STATUS     COMPLETED Quality Control
2016-07-07 11:52:31     2.2   15.7    INFO     Initialized report index and saved to index.html
2016-07-07 11:52:37     1.4   15.7  STATUS     STARTED Preprocessing
2016-07-07 11:52:37     1.4   15.7    INFO         Number of cores: 1
2016-07-07 11:52:37     1.4   15.7  STATUS         STARTED Filtering Procedures I
2016-07-07 11:52:38     1.4   15.7  STATUS             STARTED Removal of SNP-enriched Sites
2016-07-07 11:52:38     1.4   15.7  STATUS                 Removed 10119 sites using SNP criterion "3"
2016-07-07 11:52:38     1.4   15.7  STATUS                 Saved removed sites to /projects/factorization/raw_data/results_with_adjustment/preprocessing_data/removed_sites_snp.csv
2016-07-07 11:52:38     1.4   15.7  STATUS                 Added a corresponding section to the report
2016-07-07 11:52:38     1.4   15.7  STATUS             COMPLETED Removal of SNP-enriched Sites
2016-07-07 11:52:44     2.0   15.7    INFO             Working with a p-value threshold of 0.05
2016-07-07 11:52:46     2.2   15.7  STATUS             STARTED Greedycut
2016-07-07 11:53:04     2.3   15.7  STATUS                 Calculated a total of 1485 iterations
2016-07-07 11:53:04     2.3   15.7    INFO                 Optimal number of iterations is 1485
2016-07-07 11:53:08     2.3   15.7  STATUS                 Created ROC plot
2016-07-07 11:53:11     2.2   15.7  STATUS                 Created line plots for matrix dimensions and other statistics
2016-07-07 11:53:11     2.2   15.7  STATUS                 Saved removed sites to /projects/factorization/raw_data/results_with_adjustment/preprocessing_data/removed_sites_greedycut.csv
2016-07-07 11:53:11     2.2   15.7  STATUS             COMPLETED Greedycut
2016-07-07 11:53:11     2.2   15.7  STATUS             Retained 92 samples and 473974 sites
2016-07-07 11:53:11     2.2   15.7  STATUS         COMPLETED Filtering Procedures I
2016-07-07 11:53:11     2.2   15.7  STATUS         STARTED Summary of Filtering Procedures I
2016-07-07 11:53:11     2.2   15.7  STATUS             Creating summary table of removed sites, samples and unreliable measurements...
2016-07-07 11:53:24     2.0   15.7  STATUS             Saving table and figures...
2016-07-07 11:53:25     2.0   15.7  STATUS             Added summary table of removed and retained items
2016-07-07 11:53:25     2.0   15.7    INFO             Subsampling 485577 sites for plotting density distributions
2016-07-07 11:53:33     3.2   15.7  STATUS             Constructed sequences of removed and retained methylation values
2016-07-07 11:53:50     2.7   15.7  STATUS             Added comparison between removed and retained beta values
2016-07-07 11:53:50     2.7   15.7  STATUS         COMPLETED Summary of Filtering Procedures I
2016-07-07 11:53:50     2.7   15.7  STATUS         STARTED Manipulating the object
2016-07-07 12:08:58     1.8   18.3  STATUS             Removed 11603 sites (probes)
2016-07-07 12:08:58     1.8   18.3  STATUS         COMPLETED Manipulating the object
2016-07-07 12:08:59     1.8   18.3  STATUS         STARTED Normalization Procedure
2016-07-07 12:30:04     6.8   21.0  STATUS             Performed background subtraction with method methylumi.noob
