2015-10-16 14:24:32     1.0    0.0  STATUS STARTED RnBeads Pipeline
2015-10-16 14:24:32     1.0    0.0    INFO     Analysis Title: Danone_Test
2015-10-16 14:24:32     1.0    0.0    INFO     Initialized report index and saved to index.html
2015-10-16 14:24:32     1.0    0.0  STATUS     STARTED Loading Data
2015-10-16 14:24:32     1.0    0.0    INFO         Number of cores: 1
2015-10-16 14:24:32     1.0    0.0    INFO         Loading data of type "infinium.idat.dir"
2015-10-16 14:24:32     1.0    0.0  STATUS         STARTED Loading Data from IDAT Files
2015-10-16 14:24:32     1.0    0.0    INFO             Added column barcode to the provided sample annotation table
2015-10-16 14:25:21     1.3    0.3  STATUS         COMPLETED Loading Data from IDAT Files
2015-10-16 14:25:59     1.5    0.4  STATUS         Loaded data from /home/users/Sascha/RWork/Danone/idat
2015-10-16 14:26:00     1.6    0.4  STATUS         Added data loading section to the report
2015-10-16 14:26:01     1.5    0.4  STATUS         Loaded 12 samples and 485577 sites
2015-10-16 14:26:01     1.5    0.4    INFO         Output object is of type RnBeadRawSet
2015-10-16 14:26:03     1.5    0.4  STATUS     COMPLETED Loading Data
2015-10-16 14:26:30     1.5    0.4    INFO     Initialized report index and saved to index.html
2015-10-16 14:26:30     1.5    0.4  STATUS     STARTED Quality Control
2015-10-16 14:26:30     1.5    0.4    INFO         Number of cores: 1
2015-10-16 14:26:30     1.5    0.4  STATUS         STARTED Quality Control Section
2015-10-16 14:26:48     1.5    0.4  STATUS             Added quality control box plots
2015-10-16 14:28:11     1.5    0.4  STATUS             Added quality control bar plots
2015-10-16 14:28:13     1.5    0.4  STATUS             Added negative control boxplots
2015-10-16 14:28:13     1.5    0.4  STATUS         COMPLETED Quality Control Section
2015-10-16 14:28:13     1.5    0.4  STATUS         STARTED Visualizing Sample Mixups
2015-10-16 14:28:13     1.5    0.4  STATUS             STARTED Mixups Visualization Section
2015-10-16 14:28:19     1.6    0.4  STATUS                 Added SNP Heatmap
2015-10-16 14:28:24     1.5    0.4  STATUS                 Calculated Manhattan distances between samples based on SNP probes
2015-10-16 14:28:25     1.5    0.4  STATUS                 Add plot of SNP distances
2015-10-16 14:28:25     1.5    0.4  STATUS                 Exported SNP-based distances to snp_distances.csv
2015-10-16 14:28:25     1.5    0.4  STATUS                 Added SNP-based Distances
2015-10-16 14:28:25     1.5    0.4  STATUS             COMPLETED Mixups Visualization Section
2015-10-16 14:28:25     1.5    0.4  STATUS         COMPLETED Visualizing Sample Mixups
2015-10-16 14:28:29     1.5    0.4  STATUS     COMPLETED Quality Control
2015-10-16 14:28:29     1.5    0.4    INFO     Initialized report index and saved to index.html
2015-10-16 14:28:29     1.5    0.4  STATUS     STARTED Preprocessing
2015-10-16 14:28:29     1.5    0.4    INFO         Number of cores: 1
2015-10-16 14:28:29     1.5    0.4  STATUS         STARTED Filtering Procedures I
2015-10-16 14:28:31     1.5    0.4  STATUS             Loaded 118912 sites from /home/users/Sascha/RWork/Danone/commonSNPs137.txt
2015-10-16 14:28:31     1.5    0.4  STATUS             STARTED Removal of SNP-enriched Sites
2015-10-16 14:28:32     1.5    0.4  STATUS                 Removed 253 sites using SNP criterion "3"
2015-10-16 14:28:32     1.5    0.4  STATUS                 Saved removed sites to /home/users/Sascha/RWork/Danone/reports/analysis1/preprocessing_data/removed_sites_snp.csv
2015-10-16 14:28:32     1.5    0.4  STATUS                 Added a corresponding section to the report
2015-10-16 14:28:32     1.5    0.4  STATUS             COMPLETED Removal of SNP-enriched Sites
2015-10-16 14:28:33     1.6    0.4    INFO             Working with a p-value threshold of 0.05
2015-10-16 14:28:34     1.6    0.4  STATUS             STARTED Greedycut
2015-10-16 14:28:43     1.6    0.4  STATUS                 Calculated a total of 800 iterations
2015-10-16 14:28:43     1.6    0.4    INFO                 Optimal number of iterations is 800
2015-10-16 14:28:45     1.6    0.4  STATUS                 Created ROC plot
2015-10-16 14:28:47     1.6    0.4  STATUS                 Created line plots for matrix dimensions and other statistics
2015-10-16 14:28:47     1.6    0.4  STATUS                 Saved removed sites to /home/users/Sascha/RWork/Danone/reports/analysis1/preprocessing_data/removed_sites_greedycut.csv
2015-10-16 14:28:47     1.6    0.4  STATUS             COMPLETED Greedycut
2015-10-16 14:28:48     1.6    0.4  STATUS             Retained 12 samples and 365614 sites
2015-10-16 14:28:48     1.6    0.4  STATUS         COMPLETED Filtering Procedures I
2015-10-16 14:28:48     1.6    0.4  STATUS         STARTED Summary of Filtering Procedures I
