id,cgid,Chromosome,Start,Strand,mean.Normal,mean.RheumatoidArthritis,mean.diff,mean.quot.log2,diffmeth.p.val,max.Normal,min.Normal,sd.Normal,max.RheumatoidArthritis,min.RheumatoidArthritis,sd.RheumatoidArthritis,min.diff,diffmeth.p.adj.fdr,combinedRank,num.na.Normal,num.na.RheumatoidArthritis,mean.covg.Normal,mean.covg.RheumatoidArthritis,min.covg.Normal,min.covg.RheumatoidArthritis,max.covg.Normal,max.covg.RheumatoidArthritis,nsamples.covg.thres5.Normal,nsamples.covg.thres5.RheumatoidArthritis
1,cg13869341,chr1,15865,+,0.833236609015031,0.833908664474525,-0.000672055459493781,-0.00114936294476941,0.932991705267943,0.946174678126809,0.707206027191872,0.0496792951703138,0.922803410679448,0.747565785391196,0.0571090423154194,0,0.981515420290161,437042,0,0,11.1315789473684,11.5,4,6,17,18,37,12
2,cg14008030,chr1,18827,+,0.522179252777614,0.494463162564398,0.0277160902132159,0.077163344214749,0.00266801618330452,0.571472245552453,0.475845217016883,0.0235861316021803,0.541982978033175,0.439176931142182,0.0355577754003137,0,0.0883838271222915,88113,0,0,12.7105263157895,12.9166666666667,6,5,23,27,38,12
3,cg12045430,chr1,29407,+,0.0432919503766705,0.0386515713406652,0.00464037903600535,0.131431232067188,0.0475743031155211,0.0601775202406437,0.0319278155809075,0.00741768697838325,0.0589962940569449,0.0306406720477705,0.0077408292583669,0,0.325437905314964,223379,0,0,11.5526315789474,10.3333333333333,6,4,18,16,38,11
4,cg20826792,chr1,29425,+,0.113105195456265,0.126436880201151,-0.0133316847448859,-0.148342021700771,0.0487788924579741,0.186501117217623,0.0601962152847374,0.0262221949127526,0.15163833527119,0.101671699927608,0.0134464633070837,0,0.328921551512215,99470,0,0,10.0789473684211,11.0833333333333,4,5,16,17,37,12
5,cg00381604,chr1,29435,+,0.042752983129188,0.0431433653086961,-0.000390382179508139,-0.0106369104139119,0.884208470213045,0.0612882382566902,0.0344410620348465,0.00544610050948809,0.0556002530526299,0.0354543016630412,0.00556885379425233,0,0.966845345779873,424578,0,0,8.68421052631579,9.41666666666667,3,8,13,12,35,12
6,cg20253340,chr1,68849,+,0.592222258748677,0.592358678977417,-0.000136420228739831,-0.000326773871571979,0.952774152042897,0.743322818354036,0.441209527092707,0.0626654481086723,0.747135852965243,0.464346631556464,0.0885852932898468,0,0.987076216134403,451848,0,0,12.4473684210526,10.6666666666667,7,7,20,15,38,12
7,cg21870274,chr1,69591,-,0.76244938056576,0.773135022212349,-0.0106856416465889,-0.0198206727544025,0.405565624902501,0.844057824761308,0.627186074779098,0.0470804470468556,0.812987975670529,0.704535248171566,0.0339291443007541,0,0.753862013077786,247348,0,0,13.5526315789474,11.8333333333333,6,8,20,17,38,12
8,cg24335620,chr1,135252,-,0.800088583569353,0.835320547435666,-0.0352319638663126,-0.0614188423139968,0.0170086471337435,0.897414560185631,0.73759484096897,0.0394614008872601,0.911088766401727,0.785612995813346,0.0329475294914664,0,0.207981375265307,111230,0,0,14.8947368421053,13.1666666666667,7,8,22,20,38,12
9,cg16162899,chr1,449076,+,0.896796983124544,0.889669318525578,0.00712766459896608,0.0113847678459868,0.466035572346498,0.928077618302557,0.784699853231353,0.0273536109843481,0.9290445726985,0.755123623842642,0.0455879609415848,0,0.790008690824571,292653,0,0,12.7368421052632,13.0833333333333,4,8,18,19,37,12
10,cg17149495,chr1,530959,+,0.829313665550272,0.838671614081812,-0.00935794853153926,-0.0159963530679893,0.587412612956224,0.911779417936467,0.701061387653812,0.0473048127937336,0.895756221768841,0.677430639300724,0.0634558964064762,0,0.853102944162807,316579,0,0,11.3157894736842,10.1666666666667,5,3,17,14,38,11
11,cg22802167,chr1,533950,+,0.921053041998058,0.914252943868254,0.00680009812980364,0.0105756267216049,0.073021995119261,0.948974709994731,0.895254428187314,0.0130406457809318,0.9321886090246,0.882162499987749,0.0139458658588268,0,0.390198609283523,299806,0,0,12.0789473684211,12.9166666666667,3,6,21,18,37,12
12,cg24669183,chr1,534242,-,0.87049858211842,0.857465662703912,0.013032919414508,0.0215140289089514,0.0718522354622528,0.916018987104582,0.802648087545411,0.0225870656375014,0.888442843714624,0.79094440199755,0.030410169275158,0,0.387785083705238,226898,0,0,15.6842105263158,15.1666666666667,8,7,28,20,38,12
13,cg17308840,chr1,542758,-,0.383145090818657,0.380894664307875,0.00225042651078133,0.00828194759726558,0.902928855497941,0.494634274950638,0.287670380842077,0.0512553456209315,0.504242311840468,0.344049993468521,0.0463610857913138,0,0.972584583693812,426843,0,0,13.0789473684211,11.75,3,6,21,18,37,12
14,cg17866181,chr1,546984,-,0.905317127585006,0.909407270186391,-0.00409014260138518,-0.00643239739982019,0.993859305319927,0.94262488896315,0.832088543069743,0.0307061419403548,0.935921023186988,0.881488952398891,0.0185113248203417,0,0.998436210461169,457662,0,0,8.86842105263158,8.83333333333333,4,5,15,15,36,12
15,cg24159721,chr1,565170,-,0.141236548801271,0.150233633523403,-0.00899708472213129,-0.0833701728806896,0.320455056192997,0.186867254198384,0.114106779932982,0.0189535920206595,0.217113233316745,0.108935391100173,0.0285478305406874,0,0.692859356067856,212649,0,0,12.1052631578947,11.3333333333333,5,5,19,16,38,12
